Distribution,Population(thousands)
East Asia & Pacific,"2,296,786"
Europe & Central Asia,"911,995"
Latin America & Caribbean,"637,664"
Middle East & North Africa,"436,721"
North America,"359,479"
South Asia,"1,766,383"
Sub-Saharan Africa,"1,033,106"
Low income,"659,273"
Lower middle income,"3,012,924"
Upper middle income,"2,579,910"
High income,"1,190,029"
